task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
KFextract,,,,,,
CK,score,15.0,18.867924528301888,30.136986301369863,24.0,23.983739837398375
CK,f1,0.0,6.409104522264151,9.060944129452055,7.531855092900002,7.131369798455285
PK,score,70.0,49.056603773584904,39.726027397260275,41.0,44.71544715447154
PK,f1,0.0,0.0,0.0,0.0,0.0
PCK,score,27.500000000000004,45.28301886792453,50.68493150684932,41.5,43.90243902439025
PCK,f1,0.0,0.0,0.32311265191780825,0.2358722359,0.19176604544715448
RAG,score,20.689655172413794,45.91836734693878,60.75949367088608,62.5,54.08560311284047
RAG,f1,26.053639846896555,35.689254056530615,38.757009516455696,39.5204184704,37.035698845019446
