task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,76.66666666689655,62.78911564653059,63.24894514784809,58.96666666679998,63.00907911821013
CK,exact_match,68.96551724137932,53.06122448979592,55.69620253164557,53.0,55.6420233463035
PK,f1,81.60919540241379,73.46938775530613,53.1645569621519,56.166666666800005,61.41374837887159
PK,exact_match,79.3103448275862,69.38775510204081,50.63291139240506,53.0,58.36575875486382
PCK,f1,84.13793103448275,72.9251700691837,68.01687763898745,67.7333333353001,70.66147860077807
PCK,exact_match,82.75862068965517,48.97959183673469,30.37974683544304,28.000000000000004,38.91050583657588
RAG,f1,89.65517241379311,73.80952381040818,67.72151898898746,68.1666666685001,71.53047989762632
RAG,exact_match,89.65517241379311,55.10204081632652,34.177215189873415,31.0,43.190661478599225
