task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
KFextract,,,,,,
CK,,,,,,
CK,,,,,,
PK,,,,,,
PK,,,,,,
PCK,,,,,,
PCK,,,,,,
RAG,score,88.09523809523809,72.72727272727273,72.05882352941177,69.0,72.3175965665236
RAG,f1,88.12030075190475,76.52711323886362,69.30101874823534,63.78395046420009,69.99392111416299
