task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,41.37931034482759,51.02040816326531,47.34177215189873,47.8,47.54863813229573
CK,exact_match,41.37931034482759,51.02040816326531,46.835443037974684,47.0,47.081712062256805
PK,f1,42.06896551724139,31.020408163265305,20.506329113924053,23.200000000000003,25.992217898832674
PK,exact_match,37.93103448275862,28.57142857142857,18.9873417721519,22.0,24.124513618677042
PCK,f1,40.3448275862069,40.20408163346938,38.43881856658226,40.70000000140002,39.87029831494159
PCK,exact_match,34.48275862068966,20.408163265306122,12.658227848101266,11.0,15.953307392996107
RAG,f1,36.55172413793104,41.70068027306121,39.87341772278479,41.16666666810002,40.35019455365755
RAG,exact_match,31.03448275862069,18.367346938775512,11.39240506329114,10.0,14.396887159533073
