task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,58.620689655172406,40.816326530612244,43.037974683544306,45.0,45.13618677042802
CK,exact_match,58.620689655172406,40.816326530612244,43.037974683544306,45.0,45.13618677042802
PK,f1,58.620689655172406,46.93877551020408,32.91139240506329,34.0,38.91050583657588
PK,exact_match,58.620689655172406,46.93877551020408,32.91139240506329,34.0,38.91050583657588
PCK,f1,58.620689655172406,46.93877551081631,40.928270043164545,45.50000000130004,45.849546045019395
PCK,exact_match,58.620689655172406,34.69387755102041,21.518987341772153,19.0,27.237354085603112
RAG,f1,48.275862068965516,38.09523809571428,34.59915611898733,39.00000000110001,38.521400778988294
RAG,exact_match,48.275862068965516,28.57142857142857,17.72151898734177,17.0,22.957198443579767
