metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,67.39680897486748,35.929143079286355,1.7636922677865872,67.32909700889158,37.22901431824476,1.8275004373332415,74.72219241522895,34.76538327272184,1.7065655456749778,73.42844829009637,37.084194683122995,1.8203915210386254,70.71913667227115,KFextract
exact_match,1.9277108433734942,13.7663237600994,0.6757622556695929,0.24096385542168677,4.908806936738159,0.24096385542168675,0.24096385542168677,4.908806936738159,0.24096385542168675,0.7228915662650602,8.481741191974324,0.41635229998781353,0.783132530120482,KFextract
f1,26.40350877195175,43.90386820475944,2.0559870017065176,17.032163742741226,37.175791860640224,1.740915959549493,21.345029239824562,40.540232925096284,1.8984703477931106,5.994152046842104,22.92709611322733,1.073659646020926,17.69371345033991,CK
exact_match,25.877192982456144,43.84410752211781,2.053188451333888,16.00877192982456,36.70901212557731,1.7190569956998034,20.175438596491226,40.17505554096096,1.8813693499585278,4.824561403508771,21.4520146809838,1.0045826290025814,16.721491228070175,CK
f1,57.60233918129386,49.423556290217114,2.3144700789663264,32.01754385967105,46.54850224767094,2.1798333377773598,17.982456140350877,38.44630506115269,1.800413191400854,50.43859649122807,50.052989079854484,2.3439459699722587,39.51023391813596,PK
exact_match,57.45614035087719,49.495235042209416,2.3178267440717204,31.57894736842105,46.53400405976888,2.179154397923224,17.982456140350877,38.44630506115269,1.800413191400854,50.43859649122807,50.052989079854484,2.3439459699722587,39.364035087719294,PK
f1,76.09649122807018,42.69626317091886,1.9994357146720316,57.16374269291644,23.332736596949307,1.092655502103783,50.38011696157875,28.63524565537361,1.3409682395989633,42.69005848133759,35.29295417077521,1.6527440062575516,56.582602340977864,PCK
exact_match,76.09649122807018,42.69626317091886,1.9994357146720316,0.0,0.0,0.0,0.0,0.0,0.0,6.578947368421052,24.818601579944772,1.1622375051537643,20.668859649122805,PCK
f1,82.41959064328948,37.90636064070639,1.7751279772392188,60.85526316083308,18.48272814472434,0.8655330469835232,60.467836260284834,18.938250371017528,0.8868648296838384,65.8040935698682,21.643952541601568,1.0135709428505786,67.38669590857033,RAG
exact_match,82.01754385964912,38.44630506115269,1.800413191400854,0.43859649122807015,6.61538013190248,0.3097935584879649,0.0,0.0,0.0,12.719298245614036,33.3554967767045,1.562014250966018,23.793859649122805,RAG
