metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,67.39680897486748,35.929143079286355,1.7636922677865872,67.36295299187957,36.562795640904845,1.2691131639795679,69.81603279966268,36.126743485560965,1.0238684006769798,70.71913667227115,36.39087031016655,0.8931787830624216,69.44473600466982,KFextract
exact_match,1.9277108433734942,13.7663237600994,0.6757622556695929,1.0843373493975903,10.362785811619073,0.3596975466042614,0.8032128514056224,8.929735863693455,0.25307773397516126,0.783132530120482,8.817414125984097,0.21641491812861888,0.9638554216867471,KFextract
strict_exact_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KFextract
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,RAG
,,,,,,,,,,,,,,RAG
