metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,75.07781971815807,36.41191349279566,0.4861841341904665,71.40715965606292,38.1250232933806,0.5090581533033424,78.03327840092159,35.01767463441354,0.4675677873085226,80.35482963214292,34.85005689587571,0.46532969880207536,76.2182718518213,KFextract
exact_match,1.5689071135674808,12.428064174965275,0.16594369921714114,0.8557675164913532,9.211923945728733,0.1230007115299966,0.30308432875735425,5.49745039856197,0.07340380951989002,0.4813692280263861,6.921975784905664,0.09242455232509526,0.8022820467106437,KFextract
f1,82.05136453817275,36.381526622387575,0.4614136998843529,50.33885582549813,48.53163054847581,0.6155090589027936,64.35150930262743,44.50951662907852,0.5644980476231447,48.1716798028299,47.34778323903745,0.6004947530762218,61.22835236728152,CK
exact_match,78.81614926813576,40.86438722503479,0.5182681941501437,47.22534984719318,49.92696932425174,0.6332056342500935,57.43927939520669,49.447450962489995,0.6271240768773245,42.62506031848158,49.45708950836812,0.6272463190570244,56.526459707254304,CK
f1,84.39118545927943,35.35773688514393,0.4484293461636233,50.27773309749085,49.319747661908465,0.6255044622575107,31.202080317510088,44.91585871752986,0.5696515368760035,65.79968902482908,45.96706299155247,0.5829835792184087,57.917671974777654,PK
exact_match,82.75695673154254,37.77845088952415,0.4791303834432306,48.51214412095866,49.98187788242469,0.6339020195679737,28.10036995335371,44.95254427719414,0.5701168065166295,62.47386199131414,48.4229276602928,0.6141304196184879,55.46083319929226,PK
f1,84.43139778029438,35.90397019545814,0.45535702501910774,61.53771916018954,18.140583531638903,0.23007043800751198,60.51525387674863,19.89302024001158,0.2522959568488741,68.9539434909888,17.66420293546571,0.2240286757770583,68.85957857707574,PCK
exact_match,83.86681679266528,36.7866333150215,0.46655152106036446,0.5308026379282612,7.26684294047719,0.09216273199434051,0.8685861347917002,9.279979721318183,0.11769461525097992,14.347756152485122,35.05873943739623,0.44463727003517545,24.90349042946759,PCK
f1,82.28084285029755,36.35070144516717,0.46102275534762455,60.155487644289096,20.65201978672951,0.2619220726712421,59.79464908333032,21.170666852849635,0.2684998852022146,67.08701946535002,20.80794819884946,0.26389965613826144,67.32949976083503,RAG
exact_match,79.5078011902847,40.367707157482094,0.5119689810905336,1.3350490590316872,11.477967624956758,0.14557089821857933,1.5280682000965096,12.267682534406193,0.1555865658403628,14.315586295640983,35.02598966035437,0.4442219164973178,24.17162618626347,RAG
