metric,NC,HPC,HPCE,LPC,Overall,task
f1,54.414944403006615,60.285196193039205,62.32079682028323,65.3201939313072,62.32285029751655,KFextract
exact_match,0.0,0.0,0.2178649237472767,0.16339869281045752,0.130718954248366,KFextract
f1,57.04545454545455,52.95454545454545,51.47727272727274,52.61363636363636,52.784090909090885,CK
exact_match,56.81818181818182,52.84090909090909,50.9469696969697,51.98863636363637,52.32954545454545,CK
f1,58.48484848488636,36.4015151515341,27.26010101011365,28.49905303031251,32.70643939395449,PK
exact_match,55.68181818181818,33.80681818181818,25.0,26.5625,30.454545454545457,PK
f1,48.21969696971591,43.617424243408976,42.67676767808696,44.57859848639186,44.17992424363723,PCK
exact_match,44.31818181818182,22.15909090909091,14.772727272727273,12.5,18.295454545454547,PCK
f1,47.82196969698862,45.53977272823851,44.48232323365514,44.9384469712214,45.21022727393264,RAG
exact_match,41.47727272727273,21.306818181818183,14.204545454545455,11.505681818181818,17.272727272727273,RAG
