task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,26.321839080689656,36.394557823469384,49.32489451518986,49.50000000049999,44.332036316887205
CK,exact_match,6.896551724137931,14.285714285714285,26.582278481012654,23.0,20.622568093385212
PK,f1,29.54022988551724,30.544217687551022,24.97890295405062,25.43333333389998,26.731517510233456
PK,exact_match,6.896551724137931,6.122448979591836,3.79746835443038,3.0,4.280155642023346
PCK,,,,,,
PCK,,,,,,
RAG,,,,,,
RAG,,,,,,
