metric,NC,HPC,HPCE,LPC,Overall,task
f1,54.414944403006615,60.285196193039205,62.32079682028323,65.3201939313072,62.32285029751655,KFextract
exact_match,0.0,0.0,0.2178649237472767,0.16339869281045752,0.130718954248366,KFextract
strict_exact_match,0.0,0.0,0.0,0.0,0.0,KFextract
,,,,,,CK
,,,,,,CK
,,,,,,PK
,,,,,,PK
score,82.75862068965517,72.44897959183673,68.9873417721519,62.0,68.48249027237354,PCK
f1,0.3980693634482758,1.1959762257142859,0.7418080387341773,0.5860283506,0.728998119533074,PCK
score,67.24137931034483,72.44897959183673,76.58227848101265,73.5,73.54085603112841,RAG
f1,6.406543461034482,13.445934606530614,21.202092058607594,21.9810614634,18.356855934085598,RAG
