Task,NC,HPC,HPCE,LPC
KFextract,83.4,79.0,83.3,85.4
CK,92.8,81.1,83.1,61.3
PK,89.2,33.7,40.9,71.8
PCK,90.0,60.6,60.7,56.2
RAG,89.9,59.7,61.0,66.6
