Model,HPC Performance,LPC Performance,HPC - LPC
OLMo2-7B,43.258 ± 2.420,46.307 ± 2.440,-3.049
OLMo2-13B,60.855 ± 0.866,65.804 ± 1.014,-4.949
MistralMoE-7B,41.202 ± 0.600,54.385 ± 0.564,-13.184
Qwen2.5-7B,60.155 ± 0.262,67.087 ± 0.264,-6.932
Qwen2.5-14B,59.147 ± 0.407,60.980 ± 0.385,-1.833
