metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,78.36397768212939,35.20770354403911,0.572653340949635,78.94277323705886,34.491447463792674,0.396689333110492,80.24504631075183,33.61078346691722,0.31562551835359964,80.49221809066577,33.84574999879735,0.2752505824402013,79.89535354511655,KFextract
exact_match,0.9788359788359788,9.84637631092203,0.16015132266845863,0.8597883597883598,9.233140122741421,0.10619120005476487,0.855379188712522,9.209436708028667,0.0864821624160379,0.7473544973544973,8.612886693529337,0.07004430627093942,0.8253968253968255,KFextract
strict_exact_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KFextract
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,CK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,PCK
,,,,,,,,,,,,,,RAG
,,,,,,,,,,,,,,RAG
