task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
KFextract,,,,,,
CK,score,14.644970414201183,18.860946745562128,27.120315581854044,22.226331360946748,22.263313609467456
CK,f1,1.1287305216568047,2.979016630887574,7.099088986735705,6.442699924892755,5.41548304432101
PK,score,65.23668639053254,42.15976331360947,30.473372781065088,28.106508875739642,35.34023668639053
PK,f1,0.0,0.0,0.0,0.0,0.0
PCK,score,22.189349112426036,30.36242603550296,39.891518737672584,33.487426035502956,33.65384615384615
PCK,f1,0.10297018215976331,0.3512443095118343,1.0021447582495064,0.7906900367529581,0.6974653222943787
RAG,score,25.813609467455624,44.637573964497044,53.303747534516766,50.79511834319527,47.81804733727811
RAG,f1,42.94952808026614,44.994798702270664,45.62279714277613,45.70497823377585,45.26274298482401
