task,metric,NC,HPC,HPCE,LPC,Overall
KFextract,,,,,,
KFextract,,,,,,
CK,f1,100.0,73.14699792962735,69.65493443763972,65.51759834380431,71.73291925473916
CK,exact_match,100.0,71.42857142857143,66.25258799171843,61.64596273291926,68.81987577639752
PK,f1,100.0,76.7570281125,60.555555555622476,60.86847389564757,67.86546184744586
PK,exact_match,100.0,75.6024096385542,59.036144578313255,59.18674698795181,66.50602409638554
PCK,f1,100.0,81.00198412848195,74.56349206549578,73.28373016093724,77.88293650971993
PCK,exact_match,100.0,50.89285714285714,34.12698412698413,28.869047619047617,41.964285714285715
RAG,f1,100.0,81.771488471069,73.97624039324924,72.56813417399346,77.57442348178641
RAG,exact_match,100.0,51.57232704402516,34.80083857442348,29.874213836477985,42.704402515723274
