metric,NC,NC_std,NC_sem,HPC,HPC_std,HPC_sem,HPCE,HPCE_std,HPCE_sem,LPC,LPC_std,LPC_sem,Overall,task
f1,83.42347347670714,32.97369718676753,1.2844728766351166,78.99130374361157,36.00158941409462,1.4024228116195594,83.31290248921087,33.02040336180222,1.2862922908992684,85.4346037218513,31.155017465332392,1.2136271731570363,82.7905708578452,KFextract
exact_match,1.3657056145675266,11.61508196693488,0.45245935455514125,1.669195751138088,12.821185727363293,0.49944248653160694,0.0,0.0,0.0,0.15174506828528073,3.895446935658099,0.15174506828528075,0.7966616084977238,KFextract
f1,93.00184162063536,25.408553422899153,0.9443014511924671,81.99815837941989,38.04501789718995,1.4139319548424985,84.89871086564919,35.006493830273754,1.3010060972340014,62.24677716395027,48.1926414228306,1.7910654130889345,80.53637200741366,CK
exact_match,92.81767955801105,25.837344542954447,0.9602373476674604,81.07734806629834,39.19592359807065,1.4567050283598542,83.14917127071824,37.457581163063644,1.3921000405541666,61.32596685082873,48.7340011243922,1.8111848879481773,79.59254143646409,CK
f1,89.31860036832872,30.859255014422853,1.1468751804884512,33.88581952118784,47.29994317342208,1.7578885439314125,41.2523020258011,49.13792123018628,1.826196460457591,72.00736648251382,44.858851164537086,1.667166073898665,59.116022099457865,PK
exact_match,89.22651933701657,31.02595288115389,1.1530704579151045,33.70165745856354,47.301738203612096,1.7579552557030413,40.88397790055249,49.19594511149334,1.828352901023495,71.8232044198895,45.017183904618875,1.6730504638417683,58.908839779005525,PK
f1,90.00920810314919,29.80289598536566,1.1076159063567734,60.63535911903285,18.955228662220303,0.7044655252702429,60.67679558310745,19.025414447972388,0.707073959455207,56.192449358176525,25.09436522323486,0.9326247387109469,66.8784530408649,PCK
exact_match,89.64088397790056,30.494010699929795,1.1333009824428135,0.0,0.0,0.0,0.13812154696132595,3.7164707312358316,0.13812154696132597,1.2430939226519337,11.087556447662458,0.41206579018662653,22.755524861878452,PCK
f1,89.91712707198897,28.23520622984626,1.0493531754363123,59.71454880441974,31.55629514805531,1.1727804730398683,60.999079191035776,33.08899845485147,1.2297429428336315,66.61602210127054,27.840914749437555,1.0346994479711664,69.31169429217783,RAG
exact_match,86.60220994475138,34.086405471775564,1.2668112826889077,21.54696132596685,41.14319700979261,1.5290748747636382,26.10497237569061,43.95106077077251,1.6334283096134337,25.276243093922652,43.489633291702646,1.6162794924079231,39.88259668508287,RAG
