metric,task,HPC,HPC_std,HPC_sem,HPC-double,HPC-double_std,HPC-double_sem,HPCE,HPCE_std,HPCE_sem
f1,CK,73.22196078441199,42.869452433635416,0.6575873821531213,70.21647058831539,44.87931092303831,0.688417204031315,90.51137254917224,25.525822712143082,0.3915482466347755
exact_match,CK,70.21176470588235,45.73813285770102,0.7015909311421242,68.16470588235293,46.589206677490516,0.714645807596187,85.52941176470588,35.18454465415823,0.5397062779655255
f1,PK,31.98901960806126,43.877548725436135,0.6730508733770816,27.77647058830827,43.59903360004838,0.6687786463763448,8.97019607856703,24.574587659280958,0.37695696700058295
exact_match,PK,25.741176470588233,43.725957436721465,0.6707255691559135,25.270588235294117,43.46148456945838,0.6666687405620962,4.094117647058824,19.817728814589195,0.3039900831852323
f1,PCK,62.74431372838105,16.84018048605505,0.25831657677349834,58.765490198895364,21.60035440677249,0.3313343115337902,63.71529412053418,14.311714640542384,0.21953168119340677
exact_match,PCK,2.070588235294118,14.241460952316142,0.21845403880926825,0.6588235294117647,8.090964573128263,0.12410973107187576,1.7882352941176471,13.253945728522023,0.20330624675719094
f1,RAG,59.146666668794325,26.55737153654185,0.4073714832867859,54.482352943350875,28.61562728473687,0.4389436852259745,59.9380392179495,25.798892107545345,0.3957369399507606
exact_match,RAG,10.23529411764706,30.314755445376047,0.46500712144147205,6.447058823529411,24.56182533693616,0.37676120191228607,9.929411764705883,29.909169878433524,0.4587857228449375
