metric,NC,HPC,HPCE,LPC,Overall,task
f1,76.74435201564202,77.03901965439238,79.17258301080138,80.6746838235022,79.10388756508323,KFextract
exact_match,1.585460170146945,1.4694508894044858,1.134312967259603,0.9474091260634185,1.17169373549884,KFextract
strict_exact_match,0.0,0.0,0.0,0.0,0.0,KFextract
,,,,,,CK
,,,,,,CK
,,,,,,PK
,,,,,,PK
,,,,,,PCK
,,,,,,PCK
,,,,,,RAG
,,,,,,RAG
